,estimate,ci
True (experimental),1794.34326171875,"[1794.34326171875, 1794.34326171875]"
Naive,-8497.515625,"[-9554.6130859375, -7355.627124023437]"
PSM,1786.3790283203125,"[-351.9833793640136, 3250.780700683594]"
IPW,1191.73486328125,"[-111.05762939453125, 2739.169458007813]"
Doubly Robust,1302.2813133445945,"[48.46004474100691, 2867.856958275666]"
