covariate,smd,abs_smd
black,0.16503669760723172,0.16503669760723172
marr,-0.11572598913047982,0.11572598913047982
hisp,0.0986196855854955,0.0986196855854955
re75,0.05708298459649086,0.05708298459649086
re74,-0.054782237857580185,0.054782237857580185
nodegree,0.045767663136164795,0.045767663136164795
educ,0.02403791569398666,0.02403791569398666
age,0.013286072074209301,0.013286072074209301
